300,0,300
300,1,300
300,2,300
300,3,300
300,4,300
300,5,300
300,6,300
300,7,300
300,8,300
300,9,300
300,10,300
300,11,300
300,12,300
300,13,300
300,14,300
300,15,300
300,16,300
300,17,300
300,18,300
300,19,19
300,20,300
300,21,300
300,22,300
300,23,300
300,24,300
300,25,300
300,26,300
300,27,300
300,28,300
300,29,300
300,30,300
300,31,300
300,32,300
300,33,300
300,34,300
300,35,300
300,36,300
300,37,300
300,38,300
300,39,300
300,40,300
300,41,300
300,42,300
300,43,300
300,44,300
300,45,300
300,46,300
300,47,300
300,48,300
300,49,300
300,50,300
300,51,300
300,52,300
300,53,300
300,54,300
300,55,300
300,56,300
300,57,300
300,58,300
300,59,300
300,60,300
300,61,300
300,62,300
300,63,300
300,64,300
300,65,300
300,66,300
300,67,300
300,68,300
300,69,300
300,70,300
300,71,71
300,72,300
300,73,300
300,74,300
300,75,300
300,76,300
300,77,300
300,78,300
300,79,300
300,80,300
300,81,300
300,82,300
300,83,300
300,84,300
300,85,300
300,86,300
300,87,300
300,88,300
300,89,300
300,90,300
300,91,300
300,92,300
300,93,300
300,94,300
300,95,300
300,96,300
300,97,300
300,98,300
300,99,300
300,100,100
300,101,101
300,102,102
300,103,300
300,104,300
300,105,300
300,106,300
300,107,300
300,108,300
300,109,109
300,110,300
300,111,300
300,112,300
300,113,300
300,114,300
300,115,300
300,116,300
300,117,300
300,118,300
300,119,300
300,120,300
300,121,300
300,122,300
300,123,300
300,124,300
300,125,300
300,126,300
300,127,300
300,128,300
300,129,300
300,130,300
300,131,300
300,132,300
300,133,300
300,134,300
300,135,300
300,136,300
300,137,300
300,138,300
300,139,300
300,140,300
300,141,300
300,142,300
300,143,300
300,144,300
300,145,300
300,146,146
300,147,300
300,148,300
300,149,300
300,150,300
300,151,300
300,152,300
300,153,153
300,154,154
300,155,155
300,156,300
300,157,300
300,158,300
300,159,300
300,160,300
300,161,300
300,162,162
300,163,163
300,164,164
300,165,300
300,166,300
300,167,300
300,168,300
300,169,300
300,170,300
300,171,300
300,172,300
300,173,300
300,174,300
300,175,300
300,176,300
300,177,300
300,178,300
300,179,300
300,180,300
300,181,300
300,182,300
300,183,183
300,184,300
300,185,300
300,186,300
300,187,300
300,188,300
300,189,300
300,190,300
300,191,300
300,192,300
300,193,300
300,194,300
300,195,300
300,196,300
300,197,300
300,198,300
300,199,300
300,200,200
300,201,300
300,202,300
300,203,300
300,204,300
300,205,300
300,206,300
300,207,300
300,208,300
300,209,300
300,210,300
300,211,300
300,212,300
300,213,300
300,214,300
300,215,215
300,216,300
300,217,300
300,218,300
300,219,300
300,220,300
300,221,300
300,222,300
300,223,300
300,224,300
300,225,300
300,226,300
300,227,300
300,228,300
300,229,300
300,230,300
300,231,300
300,232,300
300,233,300
300,234,300
300,235,300
300,236,300
300,237,300
300,238,300
300,239,300
300,240,300
300,241,300
300,242,300
300,243,300
300,244,300
300,245,300
300,246,300
300,247,300
300,248,300
300,249,300
300,250,300
300,251,300
300,252,300
300,253,300
300,254,300
300,255,300
300,256,300
300,257,300
300,258,300
300,259,300
300,260,300
300,261,300
300,262,300
300,263,300
300,264,300
300,265,300
300,266,300
300,267,300
300,268,300
300,269,300
300,270,300
300,271,300
300,272,300
300,273,300
300,274,300
300,275,275
300,276,300
300,277,300
300,278,300
300,279,300
300,280,300
300,281,300
300,282,300
300,283,300
300,284,300
300,285,300
300,286,300
300,287,300
300,288,300
300,289,300
300,290,300
300,291,300
300,292,300
300,293,300
300,294,300
300,295,300
300,296,300
300,297,300
300,298,300
300,299,300
300,301,300
300,302,300
300,303,300
300,304,300
300,305,300
300,306,300
300,307,300
300,308,300
300,309,300
300,310,300
300,311,300
300,312,300
300,313,300
300,314,300
300,315,315
300,316,300
300,317,300
300,318,300
300,319,300
300,320,300
300,321,300
300,322,300
300,323,300
300,324,300
300,325,300
300,326,326
300,327,327
300,328,300
300,329,300
300,330,300
300,331,300
300,332,300
300,333,300
300,334,300
300,335,300
300,336,300
300,337,300
300,338,300
300,339,339
300,340,300
300,341,300
300,342,300
300,343,300
300,344,300
300,345,300
300,346,300
300,347,300
300,348,300
300,349,300
300,350,300
300,351,300
300,352,300
300,353,300
300,354,300
300,355,300
300,356,300
300,357,300
300,358,300
300,359,300
300,360,300
300,361,300
300,362,300
300,363,300
300,364,300
300,365,300
300,366,300
300,367,300
300,368,300
300,369,300
300,370,300
300,371,300
300,372,300
300,373,300
300,374,300
300,375,300
300,376,300
300,377,300
300,378,300
300,379,300
300,380,300
300,381,300
300,382,300
300,383,300
300,384,300
300,385,385
300,386,386
300,387,387
300,388,388
300,389,389
300,390,300
300,391,300
300,392,300
300,393,300
300,394,300
300,395,300
300,396,300
300,397,300
300,398,300
300,399,300
300,400,300
300,401,300
300,402,300
300,403,300
300,404,300
300,405,300
300,406,300
300,407,300
300,408,300
300,409,300
300,410,300
300,411,300
300,412,300
300,413,300
300,414,300
300,415,300
300,416,300
300,417,300
300,418,300
300,419,300
300,420,300
300,421,300
300,422,300
300,423,300
300,424,300
300,425,300
300,426,300
300,427,300
300,428,428
300,429,429
300,430,300
300,431,431
300,432,300
300,433,300
300,434,300
300,435,300
300,436,300
300,437,300
300,438,300
300,439,300
300,440,300
300,441,300
300,442,300
300,443,300
300,444,300
300,445,300
300,446,300
300,447,300
300,448,300
300,449,300
300,450,300
300,451,300
300,452,300
300,453,300
300,454,454
300,455,300
300,456,300
300,457,300
300,458,300
300,459,300
300,460,300
300,461,300
300,462,300
300,463,300
300,464,300
300,465,300
300,466,300
300,467,300
300,468,300
300,469,300
300,470,300
300,471,300
300,472,472
300,473,473
300,474,300
300,475,300
300,476,476
300,477,477
300,478,300
300,479,300
300,480,300
300,481,300
300,482,300
300,483,300
300,484,300
300,485,300
300,486,486
300,487,300
300,488,300
300,489,300
300,490,490
300,491,300
300,492,300
300,493,300
300,494,300
300,495,495
300,496,300
300,497,300
300,498,300
300,499,300
300,500,300
300,501,300
300,502,300
300,503,300
300,504,300
300,505,300
300,506,300
300,507,300
300,508,300
300,509,300
300,510,300
300,511,300
300,512,300
300,513,300
300,514,300
300,515,300
300,516,300
300,517,300
300,518,300
300,519,300
300,520,300
300,521,300
300,522,300
300,523,300
300,524,300
300,525,300
300,526,300
300,527,300
300,528,300
300,529,529
300,530,300
300,531,300
300,532,300
300,533,300
300,534,300
300,535,300
300,536,300
300,537,300
300,538,300
300,539,300
300,540,300
300,541,300
300,542,300
300,543,300
300,544,544
300,545,545
300,546,300
300,547,300
300,548,300
300,549,300
300,550,300
300,551,551
300,552,300
300,553,300
300,554,300
300,555,300
300,556,300
300,557,300
300,558,300
300,559,300
300,560,300
300,561,300
300,562,300
300,563,300
300,564,300
300,565,300
300,566,300
300,567,300
300,568,300
300,569,300
300,570,300
300,571,300
300,572,300
300,573,300
300,574,300
300,575,300
300,576,300
300,577,300
300,578,300
300,579,300
300,580,300
300,581,300
300,582,300
300,583,300
300,584,584
300,585,585
300,586,300
300,587,300
300,588,300
300,589,300
300,590,300
300,591,300
300,592,300
300,593,300
300,594,594
300,595,300
300,596,300
300,597,300
300,598,300
300,599,300
300,600,300
300,601,300
300,602,300
300,603,300
300,604,300
300,605,300
300,606,300
300,607,300
300,608,300
300,609,300
300,610,300
300,611,300
300,612,300
300,613,300
300,614,300
300,615,300
300,616,300
300,617,300
300,618,300
300,619,300
300,620,300
300,621,300
300,622,300
300,623,623
300,624,624
300,625,300
300,626,300
300,627,300
300,628,300
300,629,300
300,630,300
300,631,300
300,632,300
300,633,300
300,634,300
300,635,300
300,636,300
300,637,300
300,638,300
300,639,300
300,640,300
300,641,300
300,642,300
300,643,300
300,644,300
300,645,300
300,646,300
300,647,300
300,648,300
300,649,300
300,650,650
300,651,300
300,652,652
300,653,653
