130,0,130
130,1,130
130,2,130
130,3,130
130,4,130
130,5,130
130,6,130
130,7,130
130,8,130
130,9,130
130,10,130
130,11,130
130,12,130
130,13,130
130,14,130
130,15,130
130,16,130
130,17,130
130,18,130
130,19,19
130,20,130
130,21,130
130,22,130
130,23,23
130,24,130
130,25,130
130,26,130
130,27,130
130,28,130
130,29,130
130,30,130
130,31,130
130,32,130
130,33,130
130,34,130
130,35,130
130,36,130
130,37,130
130,38,130
130,39,130
130,40,130
130,41,130
130,42,130
130,43,130
130,44,130
130,45,130
130,46,130
130,47,130
130,48,130
130,49,130
130,50,130
130,51,130
130,52,130
130,53,130
130,54,130
130,55,130
130,56,56
130,57,130
130,58,58
130,59,130
130,60,130
130,61,130
130,62,130
130,63,130
130,64,130
130,65,130
130,66,130
130,67,130
130,68,130
130,69,130
130,70,70
130,71,71
130,72,130
130,73,130
130,74,130
130,75,130
130,76,130
130,77,130
130,78,130
130,79,130
130,80,130
130,81,130
130,82,130
130,83,130
130,84,130
130,85,130
130,86,130
130,87,130
130,88,130
130,89,130
130,90,130
130,91,130
130,92,130
130,93,130
130,94,130
130,95,130
130,96,130
130,97,130
130,98,130
130,99,130
130,100,130
130,101,130
130,102,102
130,103,130
130,104,130
130,105,130
130,106,130
130,107,130
130,108,130
130,109,109
130,110,130
130,111,130
130,112,130
130,113,130
130,114,130
130,115,130
130,116,130
130,117,130
130,118,130
130,119,130
130,120,120
130,121,130
130,122,130
130,123,130
130,124,130
130,125,130
130,126,130
130,127,130
130,128,130
130,129,130
130,131,130
130,132,130
130,133,130
130,134,130
130,135,130
130,136,130
130,137,130
130,138,130
130,139,130
130,140,130
130,141,130
130,142,130
130,143,130
130,144,130
130,145,130
130,146,146
130,147,130
130,148,130
130,149,130
130,150,130
130,151,130
130,152,130
130,153,153
130,154,154
130,155,155
130,156,130
130,157,130
130,158,130
130,159,130
130,160,130
130,161,130
130,162,162
130,163,163
130,164,164
130,165,130
130,166,130
130,167,130
130,168,130
130,169,130
130,170,130
130,171,130
130,172,130
130,173,130
130,174,130
130,175,130
130,176,130
130,177,130
