6,0,6
6,1,6
6,2,6
6,3,6
6,4,6
6,5,6
6,7,7
6,8,8
6,9,6
6,10,6
6,11,6
6,12,6
6,13,6
6,14,6
6,15,6
6,16,6
6,17,6
6,18,6
6,19,19
6,20,6
6,21,6
6,22,22
6,23,23
6,24,6
6,25,6
6,26,6
6,27,27
6,28,6
6,29,6
6,30,6
6,31,31
6,32,6
6,33,6
6,34,6
6,35,6
6,36,6
6,37,6
6,38,6
6,39,6
6,40,6
6,41,6
6,42,6
6,43,43
6,44,6
6,45,6
6,46,6
6,47,6
6,48,6
6,49,6
6,50,6
6,51,6
6,52,6
6,53,6
6,54,6
6,55,6
6,56,56
6,57,6
6,58,58
6,59,6
6,60,6
6,61,6
6,62,6
6,63,6
6,64,6
6,65,6
6,66,6
6,67,6
6,68,6
6,69,69
6,70,70
6,71,71
6,72,6
6,73,6
6,74,6
6,75,6
6,76,6
6,77,6
6,78,6
6,79,79
6,80,6
6,81,6
6,82,6
6,83,6
6,84,84
6,85,6
6,86,6
6,87,6
6,88,6
6,89,6
6,90,6
6,91,6
6,92,92
6,93,6
6,94,6
6,95,6
6,96,6
6,97,6
6,98,6
6,99,6
6,100,6
6,101,101
6,102,102
6,103,6
6,104,6
6,105,6
6,106,6
6,107,6
6,108,108
6,109,109
6,110,6
6,111,6
6,112,6
6,113,6
6,114,6
6,115,6
6,116,6
6,117,6
6,118,6
6,119,6
6,120,120
6,121,6
6,122,6
6,123,6
6,124,124
6,125,6
6,126,6
6,127,6
6,128,6
6,129,6
6,130,130
6,131,6
6,132,132
6,133,6
6,134,134
6,135,6
6,136,6
6,137,137
6,138,138
6,139,6
6,140,6
6,141,6
6,142,6
6,143,6
6,144,6
6,145,6
6,146,146
6,147,6
6,148,6
6,149,6
6,150,6
6,151,6
6,152,6
6,153,153
6,154,154
6,155,155
6,156,6
6,157,157
6,158,6
6,159,6
6,160,6
6,161,6
6,162,162
6,163,163
6,164,164
6,165,165
6,166,6
6,167,6
6,168,6
6,169,6
6,170,6
6,171,171
6,172,6
6,173,6
6,174,6
6,175,6
6,176,6
6,177,6
6,178,6
6,179,6
6,180,6
6,181,6
6,182,6
6,183,183
6,184,6
6,185,6
6,186,6
6,187,6
6,188,6
6,189,6
6,190,6
6,191,6
6,192,6
6,193,6
6,194,6
6,195,6
6,196,6
6,197,6
6,198,6
6,199,6
